CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamp:P50123,ima napomenu o odnosu primjerka i drugih jedinica opisa,kamp:C10005,"Povezuje primjerak s tekstom koji sadržava pojedinosti o odnosu između primjerka i drugog primjeraka ili više drugih primjeraka, odnosno primjerka i druge ili više drugih jedinica opisa.",kamp:P50122,,
kamp:P50124,ima mjesto izlaganja,kamp:C10005,Povezuje primjerak s mjestom na kojemu je primjerak  izlagan.,kamp:P50030,kamm:C10011,kamm:P11018
kamp:P50125,ima mjesto konzervacije ili restauracijie,kamp:C10005,Povezuje primjerak s mjestom na kojemu su na primjerku izvedeni konzervatorski i/ili restauratorski postupci.,kamp:P50030,kamm:C10011,kamm:P11017
kamp:P50126,ima mjesto korištenja,kamp:C10005,Povezuje primjerak s mjestom na kojemu je primjerak korišten.,kamp:P50030,kamm:C10011,kamm:P11022
kamp:P50127,ima mjesto nabave,kamp:C10005,Povezuje primjerak s mjestom na kojemu je primjerak nabavljen.,kamp:P50030,kamm:C10011,kamm:P11019
kamp:P50128,ima mjesto nalaza,kamp:C10005,Povezuje primjerak s mjestom na kojemu je primjerak pronađen.,kamp:P50030,kamm:C10011,kamm:P11020
kamp:P50129,ima mjesto pohrane,kamp:C10005,Povezuje primjerak s mjestom na kojemu je primjerak pohranjen.,kamp:P50030,kamm:C10011,kamm:P11021
kamp:P50130,ima vrijeme konzervacije ili restauracije,kamp:C10005,Povezuje primjerak s vremenskim rasponom u kojemu su na primjerku izvedeni konzervatorski i/ili restauratorski postupci.,kamp:P50031,kamvr:C10012,kamvr:P12014
kamp:P50131,ima vrijeme korištenja,kamp:C10005,Povezuje primjerak s vremenskim rasponom u kojemu je primjerak korišten.,kamp:P50031,kamvr:C10012,kamvr:P12034
kamp:P50132,ima vrijeme nabave,kamp:C10005,Povezuje primjerak s vremenskim rasponom u kojemu je primjerak nabavljen.,kamp:P50031,kamvr:C10012,kamvr:P12015
kamp:P50133,ima vrijeme nalaza,kamp:C10005,Povezuje primjerak s vremenskim rasponom u kojemu je primjerak pronađen.,kamp:P50031,kamvr:C10012,kamvr:P12016
kamp:P50134,ima kategoriju primjerka,kamp:C10005,Povezuje priomjerak s vrstom kojoj primjerak pripada.,kamjo:P10001,,
kamp:P50135,je primjerak združen s primjerkom,kamp:C10005,Povezuje primjerak koji je povezan u fizičku cjelinu s drugim primjerkom iste ili druge jedinice građe na način koji nije bio dijelom izvornog plana njihove izrade ili proizvodnje.,kamp:P50021,kamp:C10005,kamp:P50022
