CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamd:P20230,ima korporativno tijelo ugovornu stranku,kamd:C10002,Povezuje djelo s korporativnim tijelom koje je sklopilo ugovor.,kamd:P20229,kamkt:C10009,kamkt:P90059
kamd:P20231,ima obitelj ugovornu stranku,kamd:C10002,Povezuje djelo s obitelji koja je sklopila ugovor.,kamd:P20229,kamob:C10010,kamob:P10060
kamd:P20232,ima agenta urbanista,kamd:C10002,"Povezuje djelo s agentom odgovornim za planiranje funkcije i prostorne organizacije grada ili dijela grada, uključujući planove, računalne simulacije i sl. koji prikazuju izgled i namjenu gradskog prostora.",kamd:P20060,kama:C10006,kama:P60059
kamd:P20233,ima osobu urbanista,kamd:C10002,"Povezuje djelo s osobom odgovornom za planiranje funkcije i prostorne organizacije grada ili dijela grada, uključujući planove, računalne simulacije i sl. koji prikazuju izgled i namjenu gradskog prostora.",kamd:P20232,kamo:C10007,kamo:P70069
kamd:P20234,ima kolektivnog agenta urbanista,kamd:C10002,"Povezuje djelo s kolektivnim agentom odgovornim za planiranje funkcije i prostorne organizacije grada ili dijela grada, uključujući planove, računalne simulacije i sl. koji prikazuju izgled i namjenu gradskog prostora.",kamd:P20232,kamka:C10008,kamka:P80061
kamd:P20235,ima korporativno tijelo urbanista,kamd:C10002,"Povezuje djelo s korporativnim tijelom odgovornim za planiranje funkcije i prostorne organizacije grada ili dijela grada, uključujući planove, računalne simulacije i sl. koji prikazuju izgled i namjenu gradskog prostora.",kamd:P20234,kamkt:C10009,kamkt:P90060
kamd:P20236,ima agenta voditelja intervjua,kamd:C10002,Povezuje djelo s agentom koji u pisanom ili usmenom obliku postavlja pitanja drugom agentu.,kamd:P20060,kama:C10006,kama:P60060
kamd:P20237,ima osobu voditelja intervjua,kamd:C10002,Povezuje djelo s osobom koja u pisanom ili usmenom obliku postavlja pitanja drugoj osobi.,kamd:P20236,kamo:C10007,kamo:P70070
kamd:P20238,ima agenta zakonodavca,kamd:C10002,"Povezuje djelo s agentom, tj. upravno-teritorijalnom jedinicom koja je donijela zakon ili drugi opći pravni akt.",kamd:P20060,kama:C10006,kama:P60061
kamd:P20239,ima kolektivnog agenta zakonodavca,kamd:C10002,"Povezuje djelo s kolektivnim agentom, tj. upravno-teritorijalnom jedinicom koja je donijela zakon ili drugi opći pravni akt.",kamd:P20238,kamka:C10008,kamka:P80063
kamd:P20240,ima korporativno tijelo zakonodavca,kamd:C10002,"Povezuje djelo s korporativnim tijelom, tj. upravno-teritorijalnom jedinicom koja je donijela zakon ili drugi opći pravni akt.",kamd:P20239,kamkt:C10009,kamkt:P90062
kamd:P20241,ima agenta sudionika u nastanku djela,kamd:C10002,"Povezuje djelo s agentom koji je potaknuo, nadahnuo, podržao i/ili odobrio djelo, ali nije imao izravnu stvaralačku ulogu u njegovu nastanku.",kamd:P20035,kama:C10006,kama:P60062
kamd:P20242,ima osobu sudionika u nastanku djela,kamd:C10002,"Povezuje djelo s osobom koja je potaknula, nadahnula, podržala i/ili odobrila djelo, ali nije imala izravnu stvaralačku ulogu u njegovu nastanku.",kamd:P20241,kamo:C10007,kamo:P70071
kamd:P20243,ima kolektivnog agenta sudionuka u nastanku djela,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji je potaknuo, nadahnuo, podržao i/ili odobrio djelo, ali nije imao izravnu stvaralačku ulogu u njegovu nastanku.",kamd:P20241,kamka:C10008,kamka:P80064
kamd:P20244,ima korporativno tijelo sudionika u nastanku djela,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji je potaknuo, nadahnuo, podržao i/ili odobrio djelo, ali nije imao izravnu stvaralačku ulogu u njegovu nastanku.",kamd:P20243,kamkt:C10009,kamkt:P90063
kamd:P20245,ima obitelj sudionika u nastanku djela,kamd:C10002,"Povezuje djelo s obitelji koja je potaknula, nadahnula, podržala i/ili odobrila djelo, ali nije imala izravnu stvaralačku ulogu u njegovu nastanku.",kamd:P20243,kamob:C10010,kamob:P10063
kamd:P20246,ima agenta adresata,kamd:C10002,"Povezuje djelo s agentom koji je primio tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.).",kamd:P20035,kama:C10006,kama:P60063
kamd:P20247,ima osobu adresata,kamd:C10002,"Povezuje djelo s osobom koja je primila tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.).",kamd:P20246,kamo:C10007,kamo:P70072
kamd:P20248,ima kolektivnog agenta adresata,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji je primio tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.).",kamd:P20246,kamka:C10008,kamka:P80065
kamd:P20249,ima korporativno tijelo adresata,kamd:C10002,"Povezuje djelo s korporativnim tijelom koje je primilo tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.).",kamd:P20248,kamkt:C10009,kamkt:P90064
kamd:P20250,ima obitelj adresata ,kamd:C10002,"Povezuje djelo s obitelji koja je primila tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.).",kamd:P20248,kamob:C10010,kamob:P10064
kamd:P20251,ima agenta kome je djelo posvećeno,kamd:C10002,Povezuje djelo s agentom kojemu je djelo formalno ili neformalno posvećeno.,kamd:P20035,kama:C10006,kama:P60064
kamd:P20252,ima osobu kojoj je djelo posvećeno,kamd:C10002,Povezuje djelo s osobom kojoj je djelo formalno ili neformalno posvećeno.,kamd:P20251,kamo:C10007,kamo:P70073
kamd:P20253,ima kolektivnog agenta kojem je djelo posvećeno,kamd:C10002,Povezuje djelo s kolektivnim agentom kojemu je djelo formalno ili neformalno posvećeno.,kamd:P20251,kamka:C10008,kamka:P80066
kamd:P20254,ima korporativno tijelo kojme je djelo posvećeno,kamd:C10002,Povezuje djelo s korporativnim tijelom kojemu je djelo formalno ili neformalno posvećeno.,kamd:P20253,kamkt:C10009,kamkt:P90065
kamd:P20255,ima obitelj kojoj je djelo posvećeno,kamd:C10002,Povezuje djelo s obitelji kojoj je djelo formalno ili neformalno posvećeno.,kamd:P20253,kamob:C10010,kamob:P10065
kamd:P20256,ima agenta akademsku ustanovu,kamd:C10002,Povezuje djelo s agentom koji je odobrio završni rad ili disertaciju na temelju koje se dodijeljuje akademski stupanj.,kamd:P20035,kama:C10006,kama:P60065
