CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kampo:P40095,je pojavni oblik povezan s agentom,kampo:C10004,"Povezuje pojavni oblik s agentom koji je sudjelovao u njegovoj pripremi, izradi, objavljivanju, raspačavanju, oglašavanju i/ili prodaji.",kampo:P40082,kama:C10006,kama:P60005
kampo:P40096,je pojavni oblik povezan s osobom,kampo:C10004,"Povezuje pojavni oblik s osobom koja je sudjelovala u njegovoj pripremi, izradi, objavljivanju, raspačavanju, oglašavanju i/ili prodaji.",kampo:P40095,kamo:C10007,kamo:P70021
kampo:P40097,je pojavni oblik povezan s kolektivnim agentom,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je sudjelovao u njegovoj pripremi, izradi, objavljivanju, raspačavanju, oglašavanju i/ili prodaji.",kampo:P40095,kamka:C10008,kamka:P80005
kampo:P40098,je pojavni oblik povezan s korporativnim tijelom,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je sudjelovalo u njegovoj pripremi, izradi, objavljivanju, raspačavanju, oglašavanju i/ili prodaji.",kampo:P40097,kamkt:C10009,kamkt:P90012
kampo:P40099,je pojavni oblik povezan s obitelji,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je sudjelovala u njegovoj pripremi, izradi, objavljivanju, raspačavanju, oglašavanju i/ili prodaji.",kampo:P40097,kamob:C10010,kamob:P10012
kampo:P40100,ima agenta izrađivača,kampo:C10004,Povezuje pojavni oblik s agentom koji je sudjelovao u procesu ručne ili manufakturne izrade pojavnog oblika jedinice građe.,kampo:P40095,kama:C10006,kama:P60124
kampo:P40101,ima osobu izrađivača,kampo:C10004,Povezuje pojavni oblik s osobom koja je sudjelovala u procesu ručne ili manufakturne izrade pojavnog oblika jedinice građe.,kampo:P40100,kamo:C10007,kamo:P70133
kampo:P40102,ima kolektivnog agenta izrađivača,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je sudjelovao u procesu ručne ili manufakturne izrade pojavnog oblika jedinice građe.,kampo:P40100,kamka:C10008,kamka:P80126
kampo:P40103,ima korporativno tijelo izrađivača,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je sudjelovalo u procesu ručne ili manufakturne izrade pojavnog oblika jedinice građe.,kampo:P40102,kamkt:C10009,kamkt:P90125
kampo:P40104,ima obitelj izrađivača,kampo:C10004,Povezuje pojavni oblik s obitelji koja je sudjelovala u procesu ručne ili manufakturne izrade pojavnog oblika jedinice građe.,kampo:P40102,kamob:C10010,kamob:P10124
kampo:P40105,ima agenta bojadisara,kampo:C10004,"Povezuje pojavni oblik s agentom koji je obojio tekstil od kojega se sastoji odjevni, uporabni ili neki drugi predmet.",kampo:P40104,kama:C10006,kama:P60125
kampo:P40106,ima osobu bojadisara,kampo:C10004,"Povezuje pojavni oblik s osobom koja je obojila tekstil od kojega se sastoji odjevni, uporabni ili neki drugi predmet.",kampo:P40105,kamo:C10007,kamo:P70134
kampo:P40107,ima kolektivnog agenta bojadisara,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je obojio tekstil od kojega se sastoji odjevni, uporabni ili neki drugi predmet.",kampo:P40105,kamka:C10008,kamka:P80127
kampo:P40108,ima korporativno tijelo bojadisara,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je obojilo tekstil od kojega se sastoji odjevni, uporabni ili neki drugi predmet.",kampo:P40107,kamkt:C10009,kamkt:P90126
kampo:P40109,ima obitelj bojadisara,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je obojila tekstil od kojega se sastoji odjevni, uporabni ili neki drugi predmet.",kampo:P40107,kamob:C10010,kamob:P10125
kampo:P40110,ima agenta bravara,kampo:C10004,"Povezuje pojavni oblik s agentom koji je izradio metalne konstrukcijske ili ukrasne elemente na građevini ili dijelovima građevine, uključujući metalne ograde, namještaj, kvake itd.",kampo:P40104,kama:C10006,kama:P60126
kampo:P40111,ima osobu bravara,kampo:C10004,"Povezuje pojavni oblik s osobom koja je izradila metalne konstrukcijske ili ukrasne elemente na građevini ili dijelovima građevine, uključujući metalne ograde, namještaj, kvake itd.",kampo:P40110,kamo:C10007,kamo:P70135
kampo:P40112,ima kolektivnog agenta bravara,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je izradio metalne konstrukcijske ili ukrasne elemente na građevini ili dijelovima građevine, uključujući metalne ograde, namještaj, kvake itd.",kampo:P40110,kamka:C10008,kamka:P80128
kampo:P40113,ima korporativno tijelo bravara,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je izradilo metalne konstrukcijske ili ukrasne elemente na građevini ili dijelovima građevine, uključujući metalne ograde, namještaj, kvake itd.",kampo:P40112,kamkt:C10009,kamkt:P90127
kampo:P40114,ima obitelj bravara,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je izradila metalne konstrukcijske ili ukrasne elemente na građevini ili dijelovima građevine, uključujući metalne ograde, namještaj, kvake itd.",kampo:P40112,kamob:C10010,kamob:P10126
kampo:P40115,ima agenta brusača,kampo:C10004,Povezuje pojavni oblik s agentom koji je obradio površinu dragog kamena.,kampo:P40104,kama:C10006,kama:P60127
kampo:P40116,ima osobu brusača,kampo:C10004,Povezuje pojavni oblik s osobom koja je obradila površinu dragog kamena.,kampo:P40115,kamo:C10007,kamo:P70136
kampo:P40117,ima kolektivnog agenta brusača,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je obradio površinu dragog kamena.,kampo:P40115,kamka:C10008,kamka:P80129
kampo:P40118,ima korporativno tijelo brusača,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je obradilo površinu dragog kamena.,kampo:P40117,kamkt:C10009,kamkt:P90128
kampo:P40119,ima obitelj brusača,kampo:C10004,Povezuje pojavni oblik s obitelji koja je obradila površinu dragog kamena.,kampo:P40117,kamob:C10010,kamob:P10127
kampo:P40120,ima agenta cizelera,kampo:C10004,Povezuje pojavni oblik s agentom koji je obradio metalni predmet tehnikom cizeliranja.,kampo:P40104,kama:C10006,kama:P60128
kampo:P40121,ima osobu cizelera,kampo:C10004,Povezuje pojavni oblik s osobom koja je obradila metalni predmet tehnikom cizeliranja.,kampo:P40120,kamo:C10007,kamo:P70137
kampo:P40122,ima kolektivnog agenta cizelera,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je obradio metalni predmet tehnikom cizeliranja.,kampo:P40120,kamka:C10008,kamka:P80130
kampo:P40123,ima korporativno tijelo cizelera,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je obradilo metalni predmet tehnikom cizeliranja.,kampo:P40122,kamkt:C10009,kamkt:P90129
kampo:P40124,ima obitelj cizelera,kampo:C10004,Povezuje pojavni oblik s obitelji koja je obradila metalni predmet tehnikom cizeliranja.,kampo:P40122,kamob:C10010,kamob:P10128
kampo:P40125,ima agenta emajlera,kampo:C10004,"Povezuje pojavni obli s agentom koji je nanio emajl na površinu metalnog, keramičkog ili staklenog predmeta.",kampo:P40104,kama:C10006,kama:P60129
kampo:P40126,ima osobu emajlera,kampo:C10004,"Povezuje pojavni obli s osobom koja je nanijela emajl na površinu metalnog, keramičkog ili staklenog predmeta.",kampo:P40125,kamo:C10007,kamo:P70138
kampo:P40127,ima kolektivnog agenta emajlera,kampo:C10004,"Povezuje pojavni obli s kolektivnim agentom koji je nanio emajl na površinu metalnog, keramičkog ili staklenog predmeta.",kampo:P40125,kamka:C10008,kamka:P80131
kampo:P40128,ima korporativno tijelo emajlera,kampo:C10004,"Povezuje pojavni obli s korporativnim tijelom koje je nanijelo emajl na površinu metalnog, keramičkog ili staklenog predmeta.",kampo:P40127,kamkt:C10009,kamkt:P90130
kampo:P40129,ima obitelj emajlera,kampo:C10004,"Povezuje pojavni obli s obitelji koja je nanijela emajl na površinu metalnog, keramičkog ili staklenog predmeta.",kampo:P40127,kamob:C10010,kamob:P10129
kampo:P40130,ima agenta intarzista,kampo:C10004,"Povezuje pojavni oblik s agentom koji je ukrasio drveni predmet umecima od metala, drva, slonovače ili drugih materijala.",kampo:P40104,kama:C10006,kama:P60130
kampo:P40131,ima osobu intarzista,kampo:C10004,"Povezuje pojavni oblik s osobom koja je ukrasila drveni predmet umecima od metala, drva, slonovače ili drugih materijala.",kampo:P40130,kamo:C10007,kamo:P70139
kampo:P40132,ima kolektivnog agenta intarzista,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je ukrasio drveni predmet umecima od metala, drva, slonovače ili drugih materijala.",kampo:P40130,kamka:C10008,kamka:P80132
kampo:P40133,ima korporativno tijelo intarzista,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je ukrasilo drveni predmet umecima od metala, drva, slonovače ili drugih materijala.",kampo:P40132,kamkt:C10009,kamkt:P90131
kampo:P40134,ima obitelj intarzista,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je ukrasila drveni predmet umecima od metala, drva, slonovače ili drugih materijala.",kampo:P40132,kamob:C10010,kamob:P10130
kampo:P40135,ima agenta kalupara,kampo:C10004,Povezuje pojavni oblik s agentom koji je izradio kalup za oblikovanje keramike i stakla ili lijevanje rastaljenog metala i/ili izradio predmet iz kalupa.,kampo:P40104,kama:C10006,kama:P60131
kampo:P40136,ima osobu kalupara,kampo:C10004,Povezuje pojavni oblik s osobom koja je izradila kalup za oblikovanje keramike i stakla ili lijevanje rastaljenog metala i/ili izradio predmet iz kalupa.,kampo:P40135,kamo:C10007,kamo:P70140
kampo:P40137,ima kolektivnog agenta kalupara,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je izradio kalup za oblikovanje keramike i stakla ili lijevanje rastaljenog metala i/ili izradio predmet iz kalupa.,kampo:P40135,kamka:C10008,kamka:P80133
kampo:P40138,ima korporativno tijelo kalupara,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je izradilo kalup za oblikovanje keramike i stakla ili lijevanje rastaljenog metala i/ili izradio predmet iz kalupa.,kampo:P40137,kamkt:C10009,kamkt:P90132
kampo:P40139,ima obitelj kalupara,kampo:C10004,Povezuje pojavni oblik s obitelji koja je izradila kalup za oblikovanje keramike i stakla ili lijevanje rastaljenog metala i/ili izradio predmet iz kalupa.,kampo:P40137,kamob:C10010,kamob:P10131
kampo:P40140,ima agenta keramičara,kampo:C10004,Povezuje pjavni oblik s agentom koji je izradio predmet ili dio predmeta od keramike.,kampo:P40104,kama:C10006,kama:P60132
kampo:P40141,ima osobu keramičara,kampo:C10004,Povezuje pjavni oblik s osobom koja je izradila predmet ili dio predmeta od keramike.,kampo:P40140,kamo:C10007,kamo:P70141
kampo:P40142,ima kolektivnog agenta keramičara,kampo:C10004,Povezuje pjavni oblik s kolektivnim agentom koji je izradio predmet ili dio predmeta od keramike.,kampo:P40140,kamka:C10008,kamka:P80134
kampo:P40143,ima korporativno tijelo keramičara,kampo:C10004,Povezuje pjavni oblik s korporativnim tijelom koje je izradilo predmet ili dio predmeta od keramike.,kampo:P40142,kamkt:C10009,kamkt:P90133
kampo:P40144,ima obitelj keramičara,kampo:C10004,Povezuje pjavni oblik s obitelji koja je izradila predmet ili dio predmeta od keramike.,kampo:P40142,kamob:C10010,kamob:P10132
kampo:P40145,ima agenta klesara,kampo:C10004,"Povezuje pojavni oblik s agentom koji je ugradio, oblikovao i/ili ukrasio kameni predmet, uključujući dijelove arhitekonske plastike.",kampo:P40104,kama:C10006,kama:P60133
kampo:P40146,ima osobu klesara,kampo:C10004,"Povezuje pojavni oblik s osobom koja je ugradila, oblikovala i/ili ukrasila kameni predmet, uključujući dijelove arhitekonske plastike.",kampo:P40145,kamo:C10007,kamo:P70142
kampo:P40147,ima kolektivnog agenta klesara,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je ugradio, oblikovao i/ili ukrasio kameni predmet, uključujući dijelove arhitekonske plastike.",kampo:P40145,kamka:C10008,kamka:P80135
kampo:P40148,ima korporativno tijelo klesara,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je ugradilo, oblikovalo i/ili ukrasilo kameni predmet, uključujući dijelove arhitekonske plastike.",kampo:P40147,kamkt:C10009,kamkt:P90134
kampo:P40149,ima obitelj klesara,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je ugradila, oblikovala i/ili ukrasila kameni predmet, uključujući dijelove arhitekonske plastike.",kampo:P40147,kamob:C10010,kamob:P10133
kampo:P40150,ima agenta kovača,kampo:C10004,Povezuje pojavni oblik s agentom koji je iskovao uporabni predmet ili dio predmeta od željeza.,kampo:P40104,kama:C10006,kama:P60134
kampo:P40151,ima osobu kovača,kampo:C10004,Povezuje pojavni oblik s osobom koja je iskovala uporabni predmet ili dio predmeta od željeza.,kampo:P40150,kamo:C10007,kamo:P70143
kampo:P40152,ima kolektivnog agenta kovača,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je iskovao uporabni predmet ili dio predmeta od željeza.,kampo:P40150,kamka:C10008,kamka:P80136
kampo:P40153,ima korporativno tijelo kovača,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je iskovalo uporabni predmet ili dio predmeta od željeza.,kampo:P40152,kamkt:C10009,kamkt:P90135
kampo:P40154,ima obitelj kovača,kampo:C10004,Povezuje pojavni oblik s obitelji koja je iskovala uporabni predmet ili dio predmeta od željeza.,kampo:P40152,kamob:C10010,kamob:P10134
kampo:P40155,ima agenta kovinopojasara,kampo:C10004,Povezuje pojavni oblik s agentom koji je izradio metalni predmet ili dio predmeta tehnikom tiještenja.,kampo:P40104,kama:C10006,kama:P60135
kampo:P40156,ima osobu kovinopojasara,kampo:C10004,Povezuje pojavni oblik s osobom koja je izradila metalni predmet ili dio predmeta tehnikom tiještenja.,kampo:P40155,kamo:C10007,kamo:P70144
kampo:P40157,ima kolektivnog agenta kovinopojasara,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je izradio metalni predmet ili dio predmeta tehnikom tiještenja.,kampo:P40155,kamka:C10008,kamka:P80137
kampo:P40158,ima korporativno tijelo kovinopojasara,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je izradilo metalni predmet ili dio predmeta tehnikom tiještenja.,kampo:P40157,kamkt:C10009,kamkt:P90136
kampo:P40159,ima obitelj kovinopojasara,kampo:C10004,Povezuje pojavni oblik s obitelji koja je izradila metalni predmet ili dio predmeta tehnikom tiještenja.,kampo:P40157,kamob:C10010,kamob:P10135
kampo:P40160,ima agenta krojača,kampo:C10004,Povezuje pojavni oblik s agentom koji je izradio odjevni ili drugi predmet ili dio predmeta od tekstil.,kampo:P40104,kama:C10006,kama:P60136
kampo:P40161,ima osobu krojača,kampo:C10004,Povezuje pojavni oblik s osobom koja je izradila odjevni ili drugi predmet ili dio predmeta od tekstil.,kampo:P40160,kamo:C10007,kamo:P70145
kampo:P40162,ima kolektivnog agenta krojača,kampo:C10004,Povezuje pojavni oblik s kolektivnim agentom koji je izradio odjevni ili drugi predmet ili dio predmeta od tekstil.,kampo:P40160,kamka:C10008,kamka:P80138
kampo:P40163,ima korporativno tijelo krojača,kampo:C10004,Povezuje pojavni oblik s korporativnim tijelom koje je izradilo odjevni ili drugi predmet ili dio predmeta od tekstil.,kampo:P40162,kamkt:C10009,kamkt:P90137
kampo:P40164,ima obitelj krojača,kampo:C10004,Povezuje pojavni oblik s obitelji koja je izradila odjevni ili drugi predmet ili dio predmeta od tekstil.,kampo:P40162,kamob:C10010,kamob:P10136
kampo:P40165,ima agenta lakirera,kampo:C10004,"Povezuje pojavni oblik s agentom koji je nanio sloj laka na površinu namještaja ili drugog predmeta, uključujući izradu raznih motiva.",kampo:P40104,kama:C10006,kama:P60137
kampo:P40166,ima osobu lakirera,kampo:C10004,"Povezuje pojavni oblik s osobom koja je nanijela sloj laka na površinu namještaja ili drugog predmeta, uključujući izradu raznih motiva.",kampo:P40165,kamo:C10007,kamo:P70146
kampo:P40167,ima kolektivnog agenta lakirera,kampo:C10004,"Povezuje pojavni oblik s kolektivnim agentom koji je nanio sloj laka na površinu namještaja ili drugog predmeta, uključujući izradu raznih motiva.",kampo:P40165,kamka:C10008,kamka:P80139
kampo:P40168,ima korporativno tijelo lakirera,kampo:C10004,"Povezuje pojavni oblik s korporativnim tijelom koje je nanijelo sloj laka na površinu namještaja ili drugog predmeta, uključujući izradu raznih motiva.",kampo:P40167,kamkt:C10009,kamkt:P90138
kampo:P40169,ima obitelj lakirera,kampo:C10004,"Povezuje pojavni oblik s obitelji koja je nanijela sloj laka na površinu namještaja ili drugog predmeta, uključujući izradu raznih motiva.",kampo:P40167,kamob:C10010,kamob:P10137
kampo:P40170,ima agenta ljevača,kampo:C10004,"Povezuje pojavni oblik s agentom koji je oblikovao predmet lijevanjem tekućeg metala, stakla ili drugog materijala u kalup.",kampo:P40104,kama:C10006,kama:P60138
